compound_name,label,MW,LogP,HBD,TPSA,RingCount,RotBonds
sulphasalazine,0,398.4,3.702,3.0,141.31,3.0,6.0
moxalactam,0,520.48,-1.128,4.0,206.3,4.0,9.0
clioquinol,0,305.502,3.198,1.0,33.12,2.0,0.0
bbcpd11 (cimetidine analog) (y-g13),0,342.266,2.113,2.0,73.1,1.0,6.0
schembl614298,0,461.467,-1.236,5.0,149.15,6.0,3.0
"uk-240,455",0,368.198,0.281,3.0,123.33,2.0,4.0
morphine-6-glucuronide,0,461.467,-0.885,5.0,149.15,6.0,3.0
nitrofurantoin,0,238.159,0.073,1.0,118.05,2.0,3.0
"l-701,324",0,363.8,5.346,2.0,62.32,4.0,3.0
33419-42-0,0,588.562,1.339,3.0,160.83,7.0,5.0
icotidine,0,379.464,2.903,2.0,92.79,3.0,9.0
ro 64-0802,0,286.372,0.864,3.0,93.81,1.0,8.0
temelastine,0,442.361,3.965,2.0,83.56,3.0,8.0
"disodium;(6r,7s)-7-[[4-(2-amino-1-carboxylato-2-oxoethylidene)-1,3-dithietane-2-carbonyl]amino]-7-methoxy-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",0,575.632,-1.397,4.0,219.93,4.0,9.0
cefotetan,0,575.632,-1.397,4.0,219.93,4.0,9.0
1848-75-5,0,161.208,1.058,2.0,36.42,2.0,1.0
"2-[4-(5-bromo-3-methylpyridin-2-yl)butylamino]-5-[(6-methylpyridin-3-yl)methyl]-1,3-diazinan-4-one",0,446.393,2.63,3.0,78.94,3.0,8.0
m2l-663581,0,389.799,1.361,2.0,117.51,4.0,3.0
ritonavir,0,691.92,6.36,3.0,133.75,4.0,17.0
bis-hydroxylated-l-663581,0,403.826,1.404,2.0,117.51,4.0,4.0
,0,375.772,1.319,2.0,117.51,4.0,2.0
,0,389.799,1.361,2.0,117.51,4.0,3.0
raloxifene,0,473.594,6.075,2.0,70.0,5.0,7.0
telmesteine,0,205.235,0.602,1.0,66.84,1.0,2.0
chlorambucil,0,304.217,3.378,1.0,40.54,1.0,9.0
quercetin,0,302.282,1.392,5.0,118.22,3.0,1.0
sucrose,0,342.297,-5.396,8.0,189.53,2.0,5.0
flurbiprofen,0,244.265,3.681,1.0,37.3,2.0,3.0
schembl18285121,0,471.583,1.036,3.0,128.33,3.0,9.0
d-mannitol,0,182.172,-3.585,6.0,121.38,0.0,5.0
mannitol (d-mannitol),0,182.172,-3.585,6.0,121.38,0.0,5.0
compound 34,0,275.337,1.673,3.0,106.39,2.0,3.0
y22,0,415.293,4.978,2.0,75.11,3.0,4.0
l4,0,543.478,-5.599,8.0,285.14,2.0,9.0
chebi: 145922,0,314.378,1.183,4.0,137.5,2.0,3.0
guanidinothiazol analogue 17 ac1lbibi -- pubmed,0,250.283,1.126,4.0,117.75,2.0,2.0
cube-2,0,266.337,2.772,2.0,66.76,1.0,8.0
cube-6,0,430.497,4.582,3.0,113.29,2.0,13.0
cube-10,0,410.466,4.965,1.0,85.97,3.0,10.0
chembl151192,0,442.545,2.329,3.0,110.43,4.0,6.0
amethopterin,0,454.447,0.268,5.0,210.54,3.0,9.0
rifampicin,0,836.98,4.726,6.0,220.15,6.0,4.0
baclofen,0,213.664,1.857,2.0,63.32,1.0,4.0
etoposide,0,588.562,1.339,3.0,160.83,7.0,5.0
methotrexate,0,454.447,0.268,5.0,210.54,3.0,9.0
imatinib,0,493.615,4.59,2.0,86.28,5.0,7.0
.alpha.-d-ddc,0,211.221,-0.505,2.0,90.37,2.0,2.0
"mdl 63,246",0,1802.733,4.076,21.0,555.44,15.0,22.0
4-hydroxyalprazolam,0,324.771,3.071,1.0,63.3,4.0,1.0
etodolac,0,287.359,3.383,2.0,62.32,3.0,4.0
atenolol,0,252.314,0.41,3.0,84.58,1.0,7.0
cimetidine,0,252.347,0.237,2.0,84.93,1.0,5.0
cimetidine (y-g1),0,252.347,0.597,3.0,88.89,1.0,5.0
biosone,0,470.694,6.413,2.0,74.6,5.0,1.0
vardenafil,0,488.614,2.07,1.0,112.9,4.0,8.0
151581-23-6,0,318.377,1.543,1.0,89.75,3.0,5.0
apaxifylline,0,318.377,1.543,1.0,89.75,3.0,5.0
chembl12325,0,380.408,2.099,2.0,103.45,4.0,3.0
sb 239063,0,368.412,3.631,1.0,73.06,4.0,4.0
sbb079053,0,148.189,0.212,2.0,45.91,2.0,1.0
4-aminobenzoic acid,0,137.138,0.967,2.0,63.32,1.0,1.0
,0,326.395,5.623,0.0,26.3,4.0,4.0
"1,3-dimethyl-2-(2-methylphenylimino)imidazolidine",0,203.289,1.86,0.0,18.84,2.0,1.0
tz-17,0,175.235,1.366,2.0,36.42,2.0,1.0
atorvastatin,0,558.65,6.314,4.0,111.79,4.0,12.0
benzoylecgonine,0,303.358,2.169,1.0,66.84,3.0,4.0
"monohydroxy l-663,581 metabolite",0,373.8,2.389,1.0,97.28,4.0,2.0
dcka,0,258.06,2.533,2.0,70.16,2.0,1.0
didanosine,0,236.231,-0.211,2.0,93.03,3.0,2.0
salbutamol ,0,239.315,1.306,4.0,72.72,1.0,4.0
sildenafil,0,474.587,1.611,1.0,113.42,4.0,7.0
sk&f 93319,0,448.592,4.514,2.0,74.16,4.0,10.0
sb-271406,0,452.001,4.082,2.0,70.67,4.0,5.0
indomethacin,0,357.793,3.927,1.0,68.53,3.0,4.0
skf 93319,0,379.464,2.903,2.0,92.79,3.0,9.0
"n-(2,4-dimethylphenyl)-1,3-dimethylimidazolidin-2-imine",0,217.316,2.168,0.0,18.84,2.0,1.0
4794-83-6,0,189.262,1.675,2.0,36.42,2.0,1.0
schembl1704876,0,508.435,3.659,3.0,106.51,4.0,7.0
diclazuril,0,407.644,3.536,1.0,91.54,3.0,3.0
compound-9,0,211.265,0.815,2.0,84.91,2.0,3.0
yg19,0,204.298,2.311,1.0,38.91,2.0,3.0
17 zm0241385,0,337.343,1.722,3.0,127.39,4.0,5.0
diclofenac,0,296.153,4.364,2.0,49.33,2.0,4.0
l-dideoxyinosine,0,236.231,-0.211,2.0,93.03,3.0,2.0
didanosine,0,236.231,-0.211,2.0,93.03,3.0,2.0
α-hydroxyalprazolam (alpha-hydroxyalprazolam),0,324.771,2.764,1.0,63.3,4.0,2.0
schembl13579049,0,359.809,3.956,1.0,66.84,3.0,4.0
zinc27644005,0,359.809,3.956,1.0,66.84,3.0,4.0
p-phenylbenzoic acid,0,198.221,3.052,1.0,37.3,2.0,2.0
,0,300.384,1.318,2.0,83.58,1.0,9.0
